,F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4,A2,IMPEDANCE,BATTERY,FRAME
77,119291904.0,4269400064.0,4100218880.0,257085440.0,320090112.0,204902400.0,203968512.0,170354688.0,379174912.0,10993664.0,90945536.0,94603264.0,199067648.0,107509760.0,154849280.0,40005632.0,38672384.0,207185920.0,198684672.0,4264546304.0,17.0,106.0,77.0
78,128997376.0,4281587712.0,4111495168.0,263884800.0,328439808.0,212592640.0,215906304.0,180248576.0,382699520.0,21460992.0,99612672.0,93202432.0,204752896.0,116125696.0,162885632.0,47214592.0,46563328.0,188717056.0,210681856.0,4276170752.0,17.0,106.0,78.0
79,131559424.0,4287109120.0,4116809728.0,267048960.0,332402688.0,213645312.0,221620224.0,184696832.0,372598784.0,25628672.0,101265408.0,72675328.0,199010304.0,117788672.0,164780032.0,46092288.0,48758784.0,151799808.0,216657920.0,4280619008.0,17.0,106.0,79.0
80,121856000.0,4274950144.0,4105586688.0,260276224.0,324075520.0,205969408.0,209752064.0,174827520.0,369104896.0,15171584.0,92620800.0,74084352.0,193357824.0,109189120.0,156753920.0,38885376.0,40851456.0,170336256.0,204677120.0,4269017088.0,17.0,106.0,80.0
81,119273472.0,4269428736.0,4100274176.0,257089536.0,320086016.0,204920832.0,204095488.0,170371072.0,379168768.0,11005952.0,90961920.0,94595072.0,199114752.0,107526144.0,154843136.0,39962624.0,38645760.0,207253504.0,198703104.0,4264554496.0,17.0,106.0,81.0
82,128952320.0,4281567232.0,4111486976.0,263839744.0,328400896.0,212572160.0,215982080.0,180199424.0,382658560.0,21420032.0,99584000.0,93186048.0,204771328.0,116101120.0,162789376.0,47134720.0,46518272.0,188755968.0,210653184.0,4276111360.0,17.0,106.0,82.0
83,131491840.0,4287033344.0,4116754432.0,266977280.0,332316672.0,213587968.0,221630464.0,184586240.0,372535296.0,25550848.0,101214208.0,72693760.0,198967296.0,117727232.0,164589568.0,45998080.0,48715776.0,151848960.0,216586240.0,4280553472.0,17.0,106.0,83.0
84,121769984.0,4274831360.0,4105455616.0,260169728.0,323936256.0,205897728.0,209725440.0,174694400.0,369022976.0,15054848.0,92528640.0,74108928.0,193261568.0,109080576.0,156477440.0,38760448.0,40785920.0,170323968.0,204562432.0,4268908544.0,17.0,106.0,84.0
85,119265280.0,4269377536.0,4100186112.0,257032192.0,319995904.0,204881920.0,204113920.0,170293248.0,379127808.0,10913792.0,90898432.0,94640128.0,199090176.0,107436032.0,154576896.0,39899136.0,38586368.0,207220736.0,198629376.0,4264493056.0,17.0,106.0,85.0
86,128980992.0,4281552896.0,4111458304.0,263827456.0,328351744.0,212570112.0,216047616.0,180176896.0,382652416.0,21383168.0,99567616.0,93257728.0,204783616.0,116066304.0,162625536.0,47116288.0,46475264.0,188782592.0,210632704.0,4276115456.0,17.0,106.0,86.0
